Company,Symbol,Weight
Mosaic Co,MOS,0.034652
Packaging Corp of America,PKG,0.034602
Incyte Corp,INCY,0.034554
Seagate Technology Holdings,STX,0.034513
Western Digital Corp,WDC,0.03447
Host Hotels & Resorts Inc,HST,0.034354
C.H. Robinson Worldwide Inc,CHRW,0.03384
Stanley Black & Decker Inc,SWK,0.03377
Live Nation Entertainment In,LYV,0.033638
Trimble Inc,TRMB,0.033458
Wr Berkley Corp,WRB,0.033433
Nordson Corp,NDSN,0.033275
Camden Property Trust,CPT,0.033124
Molson Coors Beverage Co B,TAP,0.033004
Carmax Inc,KMX,0.03265
Masco Corp,MAS,0.03253
Hormel Foods Corp,HRL,0.03247
Apa Corp,APA,0.032386
International Paper Co,IP,0.032339
Brown Forman Corp Class B,BF.B,0.032267
Loews Corp,L,0.03217
Kimco Realty Corp,KIM,0.031894
Etsy Inc,ETSY,0.031817
Nisource Inc,NI,0.031795
Borgwarner Inc,BWA,0.031777
Viatris Inc,VTRS,0.031752
Domino S Pizza Inc,DPZ,0.031742
Leidos Holdings Inc,LDOS,0.031737
Teleflex Inc,TFX,0.031704
Healthpeak Properties Inc,PEAK,0.031139
Carnival Corp,CCL,0.031005
Celanese Corp,CE,0.03074
Jack Henry & Associates Inc,JKHY,0.030719
Wynn Resorts Ltd,WYNN,0.030604
Campbell Soup Co,CPB,0.030127
Marketaxess Holdings Inc,MKTX,0.029973
Henry Schein Inc,HSIC,0.029653
Charles River Laboratories,CRL,0.029407
Tapestry Inc,TPR,0.028524
Eastman Chemical Co,EMN,0.02821
Gen Digital Inc,GEN,0.027981
Qorvo Inc,QRVO,0.027922
Globe Life Inc,GL,0.027666
Keycorp,KEY,0.027604
Match Group Inc,MTCH,0.027535
Fox Corp Class A,FOXA,0.027437
Allegion Plc,ALLE,0.02724
Ceridian Hcm Holding Inc,CDAY,0.027162
Juniper Networks Inc,JNPR,0.027146
Pentair Plc,PNR,0.026884
Rollins Inc,ROL,0.026736
American Airlines Group Inc,AAL,0.026036
Caesars Entertainment Inc,CZR,0.025564
Regency Centers Corp,REG,0.025165
Bath & Body Works Inc,BBWI,0.02515
Pinnacle West Capital,PNW,0.02503
Smith (a.O.) Corp,AOS,0.024563
F5 Inc,FFIV,0.024478
Universal Health Services B,UHS,0.023659
Dentsply Sirona Inc,XRAY,0.023185
Nrg Energy Inc,NRG,0.023068
Huntington Ingalls Industrie,HII,0.023038
Bio Rad Laboratories A,BIO,0.022969
Hasbro Inc,HAS,0.022259
Robert Half Intl Inc,RHI,0.021474
Paramount Global Class B,PARA,0.021324
Generac Holdings Inc,GNRC,0.020948
Whirlpool Corp,WHR,0.020849
News Corp Class A,NWSA,0.020502
Westrock Co,WRK,0.020481
Advance Auto Parts Inc,AAP,0.020124
Franklin Resources Inc,BEN,0.019914
Boston Properties Inc,BXP,0.019625
Catalent Inc,CTLT,0.019549
Invesco Ltd,IVZ,0.019392
Assurant Inc,AIZ,0.019361
Federal Realty Invs Trust,FRT,0.018511
Vf Corp,VFC,0.017578
Sealed Air Corp,SEE,0.017528
Norwegian Cruise Line Holdin,NCLH,0.017021
Dxc Technology Co,DXC,0.016028
Alaska Air Group Inc,ALK,0.015748
Davita Inc,DVA,0.015469
Comerica Inc,CMA,0.015064
Organon & Co,OGN,0.014654
Mohawk Industries Inc,MHK,0.013947
Ralph Lauren Corp,RL,0.012864
Zions Bancorp Na,ZION,0.012598
Fox Corp Class B,FOX,0.011553
Newell Brands Inc,NWL,0.009479
Lincoln National Corp,LNC,0.009444
News Corp Class B,NWS,0.006469
Dish Network Corp A,DISH,0.004438
